Tempo,Distancia
0.16,48
0.22,36
0.27,48
0.33,36
0.38,49
0.44,48
0.49,48
0.55,49
0.6,51
0.66,51
0.71,36
0.77,37
0.82,36
0.88,51
0.93,52
0.99,49
1.04,48
1.1,35
1.15,39
1.21,50
1.26,39
1.32,49
1.37,43
1.43,42
1.48,44
1.54,45
1.59,48
1.65,53
1.7,52
1.76,55
1.82,55
1.87,56
1.93,57
1.98,60
2.04,61
2.1,64
2.15,64
2.21,66
2.26,67
2.32,69
2.38,69
2.43,71
2.49,74
2.55,75
2.6,74
2.66,74
2.72,74
2.77,76
2.83,80
2.89,76
2.95,77
3.0,76
3.06,77
3.12,77
3.17,76
3.23,76
3.29,76
3.34,76
3.4,76
3.46,75
3.52,77
3.57,76
3.63,76
3.69,79
3.74,75
3.8,76
3.86,76
3.91,78
3.97,76
4.03,76
4.08,76
4.14,75
4.2,76
4.26,76
4.31,82
4.37,76
4.43,76
4.48,80
4.54,78
4.6,76
4.65,77
4.71,84
4.77,77
4.83,76
4.88,76
4.94,77
5.0,82
5.05,81
5.11,73
5.17,71
5.22,69
5.28,67
5.34,65
5.39,62
5.45,60
5.51,60
5.56,56
5.62,51
5.67,50
5.73,46
5.78,41
5.84,36
5.89,31
5.95,70
6.0,25
6.05,17
6.11,14
6.16,12
6.21,11
6.27,9
6.32,9
6.37,8
6.42,8
6.48,6
6.53,7
6.58,7
6.64,7
6.69,6
6.74,6
6.79,6
6.85,5
6.9,6
6.95,7
7.01,8
7.06,10
7.11,13
7.17,12
7.22,15
7.27,20
7.33,26
7.38,31
7.44,71
7.49,46
7.55,49
7.6,57
7.66,61
7.72,66
7.77,69
7.83,72
7.89,75
7.94,82
8.0,77
8.06,79
8.11,77
8.17,79
8.23,78
8.29,78
8.34,78
8.4,77
8.46,77
8.51,74
8.57,63
8.63,57
8.68,49
8.74,33
8.79,32
8.84,14
8.89,9
8.95,6
9.0,3
9.05,4
9.11,4
9.16,6
9.21,5
9.26,9
9.32,83
9.38,22
9.43,22
9.48,28
9.54,34
9.59,44
9.65,52
9.7,57
9.76,59
9.82,66
9.87,69
9.93,72
9.99,74
10.04,75
10.1,76
10.16,76
10.21,76
10.27,74
10.33,76
10.38,76
10.44,75
10.5,76
10.56,76
10.61,74
10.67,78
10.73,76
10.78,77
10.84,77
10.9,74
10.95,76
11.01,70
11.07,68
11.12,64
11.18,49
11.23,29
11.29,13
11.34,8
11.39,6
11.44,7
11.5,6
11.55,6
